-1.2910700000	-1.2909950000	-0.0435155000	0.0128275000
-1.2953600000	-1.2952830000	-0.0422310000	0.0128725000
-1.2995200000	-1.2994420000	-0.0409415000	0.0129167500
-1.3035500000	-1.3034720000	-0.0396475000	0.0129610000
-1.3074500000	-1.3073720000	-0.0383490000	0.0130075000
-1.3112200000	-1.3111420000	-0.0370470000	0.0130620000
-1.3148600000	-1.3147820000	-0.0357390000	0.0131280000
-1.3183700000	-1.3182910000	-0.0344225000	0.0131960000
-1.3217500000	-1.3216680000	-0.0330975000	0.0132497500
-1.3249900000	-1.3249110000	-0.0317680000	0.0132795000
-1.3281000000	-1.3280210000	-0.0304395000	0.0132960000
-1.3310800000	-1.3309990000	-0.0291100000	0.0133162500
-1.3339200000	-1.3338430000	-0.0277790000	0.0133492500
-1.3366400000	-1.3365560000	-0.0264415000	0.0133902500
-1.3392100000	-1.3391320000	-0.0250995000	0.0134287500
-1.3416600000	-1.3415760000	-0.0237550000	0.0134672500
-1.3439600000	-1.3438830000	-0.0224075000	0.0135117500
-1.3461400000	-1.3460580000	-0.0210550000	0.0135615000
-1.3481800000	-1.3480960000	-0.0196935000	0.0135992500
-1.3500800000	-1.3499970000	-0.0183300000	0.0136130000
-1.3518400000	-1.3517610000	-0.0169685000	0.0136132500
-1.3534700000	-1.3533900000	-0.0156095000	0.0136190000
-1.3549700000	-1.3548840000	-0.0142475000	0.0136392500
-1.3563200000	-1.3562400000	-0.0128820000	0.0136680000
-1.3575400000	-1.3574600000	-0.0115145000	0.0137000000
-1.3586300000	-1.3585440000	-0.0101420000	0.0137270000
-1.3595700000	-1.3594890000	-0.0087665000	0.0137390000
-1.3603800000	-1.3602970000	-0.0073915000	0.0137375000
-1.3610500000	-1.3609670000	-0.0060185000	0.0137362500
-1.3615800000	-1.3615000000	-0.0046475000	0.0137542500
-1.3619800000	-1.3618970000	-0.0032725000	0.0137962500
-1.3622400000	-1.3621560000	-0.0018895000	0.0138432500
-1.3623600000	-1.3622760000	-0.0005000000	0.0138697500
-1.3623400000	-1.3622560000	0.0008900000	0.0138667500
-1.3621800000	-1.3620970000	0.0022755000	0.0138492500
-1.3618800000	-1.3618000000	0.0036575000	0.0138367500
-1.3614500000	-1.3613660000	0.0050405000	0.0138315000
-1.3608800000	-1.3607930000	0.0064255000	0.0138232500
-1.3601600000	-1.3600800000	0.0078075000	0.0138120000
-1.3593100000	-1.3592300000	0.0091850000	0.0138140000
-1.3583300000	-1.3582440000	0.0105660000	0.0138317500
-1.3572000000	-1.3571180000	0.0119520000	0.0138450000
-1.3559400000	-1.3558540000	0.0133400000	0.0138347500
-1.3545300000	-1.3544490000	0.0147230000	0.0138047500
-1.3529900000	-1.3529080000	0.0160995000	0.0137792500
-1.3513100000	-1.3512290000	0.0174745000	0.0137727500
-1.3495000000	-1.3494140000	0.0188520000	0.0137787500
-1.3475400000	-1.3474590000	0.0202320000	0.0137797500
-1.3454500000	-1.3453670000	0.0216100000	0.0137690000
-1.3432200000	-1.3431370000	0.0229870000	0.0137482500
-1.3408500000	-1.3407690000	0.0243600000	0.0137032500
-1.3383500000	-1.3382650000	0.0257315000	0.0135982500
-1.3357000000	-1.3356220000	0.0270995000	0.0132850000
-1.3329300000	-1.3328450000	0.0284260000	0.0128477500
-1.3300100000	-1.3299290000	0.0297100000	0.0117660000
-1.3269600000	-1.3268780000	0.0307735000	0.0105625000
-1.3237700000	-1.3237700000	0.0321400000	0.0068325000
-1.3204500000	-1.3204500000	0.0321400000	0.0068325000
